Layer_1 5538 | Layer_2 24203 | Layer_3 75077
Epoch 00035 | Loss 1.3520 | Accuracy 0.6057 | Time : 1.3229 | loop 0.4477 | Model 0.8751 | x_y_time 0.0014 | pred 0.3278 | loss_time 0.0061
Epoch 00036 | Loss 1.3493 | Accuracy 0.6044 | Time : 1.3103 | loop 0.4430 | Model 0.8671 | x_y_time 0.0014 | pred 0.3252 | loss_time 0.0061
Epoch 00037 | Loss 1.3487 | Accuracy 0.6038 | Time : 1.3144 | loop 0.4427 | Model 0.8716 | x_y_time 0.0014 | pred 0.3269 | loss_time 0.0061
Epoch 00038 | Loss 1.3499 | Accuracy 0.6044 | Time : 1.3116 | loop 0.4438 | Model 0.8676 | x_y_time 0.0014 | pred 0.3252 | loss_time 0.0062
Epoch 00039 | Loss 1.3485 | Accuracy 0.6079 | Time : 1.3293 | loop 0.4533 | Model 0.8758 | x_y_time 0.0015 | pred 0.3300 | loss_time 0.0060
Epoch 00040 | Loss 1.3432 | Accuracy 0.6059 | Time : 1.3247 | loop 0.4523 | Model 0.8722 | x_y_time 0.0014 | pred 0.3273 | loss_time 0.0064
Epoch 00041 | Loss 1.3439 | Accuracy 0.6019 | Time : 1.3120 | loop 0.4427 | Model 0.8691 | x_y_time 0.0014 | pred 0.3256 | loss_time 0.0060
Epoch 00042 | Loss 1.3421 | Accuracy 0.6036 | Time : 1.3179 | loop 0.4470 | Model 0.8708 | x_y_time 0.0014 | pred 0.3263 | loss_time 0.0060
Epoch 00043 | Loss 1.3389 | Accuracy 0.6039 | Time : 1.3196 | loop 0.4458 | Model 0.8736 | x_y_time 0.0014 | pred 0.3278 | loss_time 0.0061
Epoch 00044 | Loss 1.3407 | Accuracy 0.6052 | Time : 1.3364 | loop 0.4553 | Model 0.8809 | x_y_time 0.0015 | pred 0.3325 | loss_time 0.0062
Epoch 00045 | Loss 1.3419 | Accuracy 0.6041 | Time : 1.3259 | loop 0.4487 | Model 0.8770 | x_y_time 0.0014 | pred 0.3307 | loss_time 0.0063
Epoch 00046 | Loss 1.3374 | Accuracy 0.6083 | Time : 1.3220 | loop 0.4491 | Model 0.8727 | x_y_time 0.0015 | pred 0.3282 | loss_time 0.0062
Epoch 00047 | Loss 1.3384 | Accuracy 0.6106 | Time : 1.3191 | loop 0.4443 | Model 0.8747 | x_y_time 0.0014 | pred 0.3279 | loss_time 0.0060
Epoch 00048 | Loss 1.3366 | Accuracy 0.6077 | Time : 1.3061 | loop 0.4409 | Model 0.8651 | x_y_time 0.0014 | pred 0.3246 | loss_time 0.0061
Epoch 00049 | Loss 1.3325 | Accuracy 0.6084 | Time : 1.3259 | loop 0.4471 | Model 0.8786 | x_y_time 0.0014 | pred 0.3306 | loss_time 0.0064
Epoch 00050 | Loss 1.3366 | Accuracy 0.6079 | Time : 1.3209 | loop 0.4487 | Model 0.8720 | x_y_time 0.0014 | pred 0.3280 | loss_time 0.0064
Epoch 00051 | Loss 1.3305 | Accuracy 0.6035 | Time : 1.3253 | loop 0.4479 | Model 0.8773 | x_y_time 0.0014 | pred 0.3292 | loss_time 0.0061
Epoch 00052 | Loss 1.3305 | Accuracy 0.6094 | Time : 1.3266 | loop 0.4529 | Model 0.8735 | x_y_time 0.0015 | pred 0.3276 | loss_time 0.0064
